survived,pclass,sex,age,sibsp,parch,fare,embarked
0,3.0,0.0,34.0,0.0,0.0,7.0,1.0
0,3.0,1.0,47.0,1.0,0.0,7.0,2.0
0,2.0,0.0,62.0,0.0,0.0,9.0,1.0
0,3.0,0.0,27.0,0.0,0.0,8.0,2.0
1,3.0,1.0,22.0,1.0,1.0,12.0,2.0
0,3.0,0.0,14.0,0.0,0.0,9.0,2.0
1,3.0,1.0,30.0,0.0,0.0,7.0,1.0
0,2.0,0.0,26.0,1.0,1.0,29.0,2.0
1,3.0,1.0,18.0,0.0,0.0,7.0,0.0
0,3.0,0.0,21.0,2.0,0.0,24.0,2.0
0,3.0,0.0,28.08907249922291,0.0,0.0,7.0,2.0
0,1.0,0.0,46.0,0.0,0.0,26.0,2.0
1,1.0,1.0,23.0,1.0,0.0,82.0,2.0
0,2.0,0.0,63.0,1.0,0.0,26.0,2.0
1,1.0,1.0,47.0,1.0,0.0,61.0,2.0
1,2.0,1.0,24.0,1.0,0.0,27.0,0.0
0,2.0,0.0,35.0,0.0,0.0,12.0,1.0
0,3.0,0.0,21.0,0.0,0.0,7.0,0.0
1,3.0,1.0,27.0,1.0,0.0,7.0,2.0
1,3.0,1.0,45.0,0.0,0.0,7.0,0.0
0,1.0,0.0,55.0,1.0,0.0,59.0,0.0
0,3.0,0.0,9.0,0.0,1.0,3.0,2.0
1,1.0,1.0,38.12157628217247,0.0,0.0,31.0,2.0
1,1.0,0.0,21.0,0.0,1.0,61.0,0.0
1,1.0,1.0,48.0,1.0,3.0,262.0,0.0
0,3.0,0.0,50.0,1.0,0.0,14.0,2.0
1,1.0,1.0,22.0,0.0,1.0,61.0,0.0
0,3.0,0.0,22.0,0.0,0.0,7.0,0.0
0,1.0,0.0,41.0,0.0,0.0,30.0,2.0
0,3.0,0.0,12.315224029978339,2.0,0.0,21.0,0.0
0,2.0,0.0,50.0,1.0,0.0,26.0,2.0
0,2.0,0.0,24.0,2.0,0.0,31.0,2.0
0,3.0,1.0,33.0,1.0,2.0,20.0,2.0
1,3.0,1.0,23.421296774508463,1.0,2.0,23.0,2.0
0,1.0,0.0,30.0,1.0,0.0,57.0,0.0
0,3.0,0.0,18.0,0.0,0.0,7.0,0.0
1,3.0,1.0,24.311300422738373,0.0,0.0,8.0,2.0
1,3.0,1.0,21.0,0.0,0.0,8.0,2.0
0,3.0,0.0,25.0,0.0,0.0,9.0,2.0
0,3.0,0.0,22.158147881158825,0.0,0.0,56.0,2.0
0,3.0,0.0,39.0,0.0,1.0,13.0,0.0
0,1.0,0.0,40.89255615017478,0.0,0.0,26.0,2.0
0,3.0,0.0,41.0,0.0,0.0,7.0,2.0
1,2.0,1.0,30.0,0.0,0.0,13.0,2.0
1,1.0,1.0,45.0,1.0,0.0,52.0,2.0
0,3.0,0.0,25.0,0.0,0.0,7.0,2.0
0,1.0,0.0,45.0,0.0,0.0,29.0,0.0
0,3.0,0.0,27.081964962180134,0.0,0.0,7.0,1.0
1,1.0,1.0,60.0,0.0,0.0,76.0,0.0
0,3.0,1.0,36.0,0.0,2.0,15.0,2.0
0,1.0,0.0,24.0,1.0,0.0,60.0,2.0
