survived,pclass,sex,age,sibsp,parch,ticket,fare,embarked
0,3.0,0.0,34.0,0.0,0.0,330911.0,7.0,1.0
0,3.0,1.0,47.0,1.0,0.0,363272.0,7.0,2.0
0,2.0,0.0,62.0,0.0,0.0,240276.0,9.0,1.0
0,3.0,0.0,27.0,0.0,0.0,315154.0,8.0,2.0
1,3.0,1.0,22.0,1.0,1.0,3101298.0,12.0,2.0
0,3.0,0.0,14.0,0.0,0.0,7538.0,9.0,2.0
0,3.0,1.0,30.0,0.0,0.0,330972.0,7.0,1.0
1,2.0,0.0,26.0,1.0,1.0,248738.0,29.0,2.0
1,3.0,1.0,18.0,0.0,0.0,2657.0,7.0,0.0
0,3.0,0.0,21.0,2.0,0.0,48871.0,24.0,2.0
0,3.0,0.0,27.902898701331726,0.0,0.0,349220.0,7.0,2.0
0,1.0,0.0,46.0,0.0,0.0,694.0,26.0,2.0
1,1.0,1.0,23.0,1.0,0.0,21228.0,82.0,2.0
0,2.0,0.0,63.0,1.0,0.0,24065.0,26.0,2.0
1,1.0,1.0,47.0,1.0,0.0,5734.0,61.0,2.0
1,2.0,1.0,24.0,1.0,0.0,2167.0,27.0,0.0
0,2.0,0.0,35.0,0.0,0.0,233734.0,12.0,1.0
0,3.0,0.0,21.0,0.0,0.0,2692.0,7.0,0.0
1,3.0,1.0,27.0,1.0,0.0,3101270.0,7.0,2.0
0,3.0,1.0,45.0,0.0,0.0,2696.0,7.0,0.0
0,1.0,0.0,55.0,1.0,0.0,17603.0,59.0,0.0
0,3.0,0.0,9.0,0.0,1.0,17368.0,3.0,2.0
1,1.0,1.0,39.504907387459184,0.0,0.0,17598.0,31.0,2.0
0,1.0,0.0,21.0,0.0,1.0,17597.0,61.0,0.0
1,1.0,1.0,48.0,1.0,3.0,17608.0,262.0,0.0
0,3.0,0.0,50.0,1.0,0.0,3337.0,14.0,2.0
1,1.0,1.0,22.0,0.0,1.0,113509.0,61.0,0.0
0,3.0,0.0,22.0,0.0,0.0,2698.0,7.0,0.0
0,1.0,0.0,41.0,0.0,0.0,113054.0,30.0,2.0
0,3.0,0.0,10.648923733220194,2.0,0.0,2662.0,21.0,0.0
0,2.0,0.0,50.0,1.0,0.0,3085.0,26.0,2.0
0,2.0,0.0,24.0,2.0,0.0,31029.0,31.0,2.0
0,3.0,1.0,33.0,1.0,2.0,2315.0,20.0,2.0
0,3.0,1.0,23.963824002678425,1.0,2.0,6607.0,23.0,2.0
1,1.0,0.0,30.0,1.0,0.0,13236.0,57.0,0.0
0,3.0,0.0,18.0,0.0,0.0,2682.0,7.0,0.0
1,3.0,1.0,23.951717584196487,0.0,0.0,342712.0,8.0,2.0
1,3.0,1.0,21.0,0.0,0.0,315087.0,8.0,2.0
0,3.0,0.0,25.0,0.0,0.0,345768.0,9.0,2.0
0,3.0,0.0,23.841697430498307,0.0,0.0,1601.0,56.0,2.0
0,3.0,0.0,39.0,0.0,1.0,349256.0,13.0,0.0
0,1.0,0.0,40.40403746996386,0.0,0.0,113778.0,26.0,2.0
0,3.0,0.0,41.0,0.0,0.0,3101263.0,7.0,2.0
1,2.0,1.0,30.0,0.0,0.0,237249.0,13.0,2.0
1,1.0,1.0,45.0,1.0,0.0,11753.0,52.0,2.0
0,3.0,0.0,25.0,0.0,0.0,3101291.0,7.0,2.0
0,1.0,0.0,45.0,0.0,0.0,17594.0,29.0,0.0
0,3.0,0.0,31.301560047276926,0.0,0.0,370374.0,7.0,1.0
1,1.0,1.0,60.0,0.0,0.0,11813.0,76.0,0.0
0,3.0,1.0,36.0,0.0,2.0,37671.0,15.0,2.0
1,1.0,0.0,24.0,1.0,0.0,13695.0,60.0,2.0
1,2.0,0.0,27.0,0.0,0.0,2168.0,15.0,0.0
0,2.0,1.0,20.0,2.0,1.0,29105.0,23.0,2.0
1,1.0,1.0,28.0,3.0,2.0,19950.0,263.0,2.0
1,2.0,0.0,34.037915924319236,0.0,0.0,2861.0,15.0,0.0
0,3.0,0.0,10.0,4.0,1.0,382652.0,29.0,1.0
0,3.0,0.0,35.0,0.0,0.0,349230.0,7.0,2.0
0,3.0,0.0,25.0,0.0,0.0,348122.0,7.0,2.0
0,3.0,0.0,24.402060597475966,1.0,0.0,386525.0,16.0,2.0
1,1.0,1.0,36.0,0.0,0.0,17608.0,262.0,0.0
0,3.0,0.0,17.0,0.0,0.0,349232.0,7.0,2.0
0,2.0,0.0,32.0,0.0,0.0,237216.0,13.0,2.0
0,3.0,0.0,18.0,0.0,0.0,347090.0,7.0,2.0
1,3.0,1.0,22.0,0.0,0.0,334914.0,7.0,1.0
0,1.0,0.0,13.0,2.0,2.0,17608.0,262.0,0.0
1,2.0,1.0,31.39195954902617,0.0,0.0,13534.0,21.0,2.0
1,3.0,1.0,18.0,0.0,0.0,330963.0,7.0,1.0
0,1.0,0.0,47.0,0.0,0.0,113796.0,42.0,2.0
1,1.0,0.0,31.0,0.0,0.0,2543.0,28.0,0.0
0,1.0,1.0,60.0,1.0,4.0,19950.0,263.0,2.0
1,3.0,1.0,24.0,0.0,0.0,382653.0,7.0,1.0
0,3.0,0.0,21.0,0.0,0.0,349211.0,7.0,2.0
1,3.0,1.0,29.0,0.0,0.0,3101297.0,7.0,2.0
1,1.0,0.0,28.0,0.0,0.0,17562.0,27.0,0.0
1,1.0,1.0,35.0,0.0,0.0,113503.0,211.0,0.0
0,1.0,0.0,32.0,0.0,0.0,113503.0,211.0,0.0
0,3.0,0.0,27.801992208653918,0.0,0.0,359306.0,8.0,2.0
