survived,pclass,sex,age,sibsp,parch,ticket,fare,embarked
0,3,0,22,1,0,21171,7,2
1,1,1,38,1,0,17599,71,0
1,3,1,26,0,0,3101282,7,2
1,1,1,35,1,0,113803,53,2
0,3,0,35,0,0,373450,8,2
0,3,0,30.609299773510784,0,0,330877,8,1
0,1,0,54,0,0,17463,51,2
0,3,0,2,3,1,349909,21,2
1,3,1,27,0,2,347742,11,2
1,2,1,14,1,0,237736,30,0
1,3,1,4,1,1,9549,16,2
1,1,1,58,0,0,113783,26,2
0,3,0,20,0,0,2151,8,2
0,3,0,39,1,5,347082,31,2
0,3,1,14,0,0,350406,7,2
1,2,1,55,0,0,248706,16,2
0,3,0,2,4,1,382652,29,1
1,2,0,32.739919101855364,0,0,244373,13,2
0,3,1,31,1,0,345763,18,2
1,3,1,19.180288066677925,0,0,2649,7,0
0,2,0,35,0,0,239865,26,2
1,2,0,34,0,0,248698,13,2
1,3,1,15,0,0,330923,8,1
1,1,0,28,0,0,113788,35,2
0,3,1,8,3,1,349909,21,2
1,3,1,38,1,5,347077,31,2
0,3,0,23.772818967908226,0,0,2631,7,0
0,1,0,19,3,2,19950,263,2
1,3,1,26.459811397907256,0,0,330959,7,1
0,3,0,27.9028974879017,0,0,349216,7,2
0,1,0,40,0,0,17601,27,0
1,1,1,34.21067879177996,1,0,17569,146,0
1,3,1,26.52971785898431,0,0,335677,7,1
0,2,0,66,0,0,24579,10,2
0,1,0,28,1,0,17604,82,0
0,1,0,42,1,0,113789,52,2
1,3,0,23.774185045085027,0,0,2677,7,0
0,3,0,21,0,0,2152,8,2
0,3,1,18,2,0,345764,18,2
1,3,1,14,1,0,2651,11,0
0,3,1,40,1,0,7546,9,2
0,2,1,27,1,0,11668,21,2
0,3,0,34.066566863047775,0,0,349253,7,0
1,2,1,3,1,2,2123,41,0
1,3,1,19,0,0,330958,7,1
0,3,0,27.72195294273016,0,0,23567,8,2
0,3,0,26.33979402918055,1,0,370371,15,1
1,3,1,21.768047708393304,0,0,14311,7,1
0,3,0,10.648923733220194,2,0,2662,21,0
0,3,1,18,1,0,349237,17,2
0,3,0,7,4,1,3101295,39,2
0,3,0,21,0,0,39886,7,2
1,1,1,49,1,0,17572,76,0
1,2,1,29,1,0,2926,26,2
0,1,0,65,0,1,113509,61,0
1,1,0,42.143102761404464,0,0,19947,35,2
1,2,1,21,0,0,31026,10,2
0,3,0,28,0,0,2697,7,0
1,2,1,5,1,2,34651,27,2
0,3,0,11,5,2,2144,46,2
0,3,0,22,0,0,2669,7,0
1,1,1,38,0,0,113572,80,-1
0,1,0,45,1,0,36973,83,2
0,3,0,4,3,2,347088,27,2
0,1,0,44.719356394572166,0,0,17605,27,0
1,3,0,15.516716354103984,1,1,2661,15,0
1,2,1,29,0,0,29395,10,2
0,3,0,19,0,0,3464,8,2
1,3,1,17,4,2,3101281,7,2
0,3,0,26,2,0,315151,8,2
0,2,0,32,0,0,33111,10,2
0,3,1,16,5,2,2144,46,2
0,2,0,21,0,0,14879,73,2
0,3,0,26,1,0,2680,14,0
1,3,0,32,0,0,1601,56,2
0,3,0,25,0,0,348123,7,2
0,3,0,27.902895061041637,0,0,349208,7,2
0,3,0,27.805673062727646,0,0,374746,8,2
1,2,0,0,0,2,248738,29,2
1,3,1,30,0,0,364516,12,2
0,3,0,22,0,0,345767,9,2
1,3,0,29,0,0,345779,9,2
1,3,1,26.459411339736615,0,0,330932,7,1
0,1,0,28,0,0,113059,47,2
1,2,1,17,0,0,14885,10,2
1,3,1,33,3,0,3101278,15,2
0,3,0,16,1,3,6608,34,2
0,3,0,27.809806871642067,0,0,392086,8,2
1,1,1,23,3,2,19950,263,2
0,3,0,24,0,0,343275,8,2
0,3,0,29,0,0,343276,8,2
0,3,0,20,0,0,347466,7,2
0,1,0,46,1,0,5734,61,2
0,3,0,26,1,2,2315,20,2
0,3,0,59,0,0,364500,7,2
0,3,0,27.805712159882322,0,0,374910,8,2
0,1,0,71,0,0,17754,34,0
1,1,0,23,0,1,17759,63,0
1,2,1,34,0,1,231919,23,2
0,2,0,34,1,0,244367,26,2
0,3,1,28,0,0,349245,7,2
0,3,0,27.90289718454419,0,0,349215,7,2
0,1,0,21,0,1,35281,77,2
0,3,0,33,0,0,7540,8,2
0,3,0,37,2,0,3101276,7,2
0,3,0,28,0,0,349207,7,2
1,3,1,21,0,0,343120,7,2
1,3,0,27.891908362191746,0,0,312991,7,2
0,3,0,38,0,0,349249,7,2
1,3,1,20.737664877219352,1,0,371110,24,1
0,1,0,47,0,0,110465,52,2
0,3,1,14,1,0,2665,14,0
0,3,0,22,0,0,324669,8,2
0,3,1,20,1,0,4136,9,2
0,3,1,17,0,0,2627,14,0
0,3,0,21,0,0,3101294,7,2
0,3,0,70,0,0,370369,7,1
0,2,0,29,1,0,11668,21,2
0,1,0,24,0,1,17558,247,0
0,3,1,2,4,2,347082,31,2
0,2,0,21,2,0,14879,73,2
0,3,0,27.729329669906562,0,0,54510,8,2
0,2,0,32,1,0,237736,30,0
1,2,1,32,0,0,27267,13,2
0,1,0,54,0,1,35281,77,2
1,3,0,12,1,0,2651,11,0
0,3,0,31.30153004658948,0,0,370372,7,1
1,3,0,24,0,0,17369,7,2
1,3,1,13.038343081943857,1,1,2668,22,0
0,3,0,45,0,0,347061,6,2
0,3,0,33,0,0,349241,7,0
0,3,0,20,0,0,3101307,7,2
0,3,1,47,1,0,3337,14,2
1,2,1,29,1,0,228414,26,2
0,2,0,25,0,0,29178,13,2
0,2,0,23,0,0,2133,15,0
1,1,1,19,0,2,11752,26,2
0,1,0,37,1,0,113803,53,2
0,3,0,16,0,0,7534,9,2
0,1,0,24,0,0,17593,79,0
0,3,1,20.783249308183944,0,2,2678,15,0
1,3,1,22,0,0,347081,7,2
1,3,1,24,1,0,3101279,15,2
0,3,0,19,0,0,365222,6,1
0,2,0,18,0,0,231945,11,2
0,2,0,19,1,1,33112,36,2
1,3,0,27,0,0,350043,7,2
0,3,1,9,2,2,6608,34,2
0,2,0,36,0,2,230080,26,2
0,2,0,42,0,0,244310,13,2
0,2,0,51,0,0,1166,12,2
1,1,1,22,1,0,113776,66,2
0,3,0,55,0,0,11206,8,2
0,3,0,40,0,2,851,14,2
0,3,0,27.877441546015582,0,0,265302,7,2
