survived,pclass,sex,age,sibsp,parch,fare,embarked
0,3,0,22,1,0,7,2
1,1,1,38,1,0,71,0
1,3,1,26,0,0,7,2
1,1,1,35,1,0,53,2
0,3,0,35,0,0,8,2
0,3,0,28.646117208991285,0,0,8,1
0,1,0,54,0,0,51,2
0,3,0,2,3,1,21,2
1,3,1,27,0,2,11,2
1,2,1,14,1,0,30,0
1,3,1,4,1,1,16,2
1,1,1,58,0,0,26,2
0,3,0,20,0,0,8,2
0,3,0,39,1,5,31,2
0,3,1,14,0,0,7,2
1,2,1,55,0,0,16,2
0,3,0,2,4,1,29,1
1,2,0,30.30421729821464,0,0,13,2
0,3,1,31,1,0,18,2
1,3,1,21.611486406113727,0,0,7,0
0,2,0,35,0,0,26,2
1,2,0,34,0,0,13,2
1,3,1,15,0,0,8,1
1,1,0,28,0,0,35,2
0,3,1,8,3,1,21,2
1,3,1,38,1,5,31,2
0,3,0,28.146430406883773,0,0,7,0
0,1,0,19,3,2,263,2
1,3,1,22.124469364168633,0,0,7,1
0,3,0,29.172396322993585,0,0,7,2
0,1,0,40,0,0,27,0
1,1,1,31.935251067183245,1,0,146,0
1,3,1,22.124469364168633,0,0,7,1
0,2,0,66,0,0,10,2
0,1,0,28,1,0,82,0
0,1,0,42,1,0,52,2
1,3,0,21.264578033144247,0,0,7,0
0,3,0,21,0,0,8,2
0,3,1,18,2,0,18,2
1,3,1,14,1,0,11,0
0,3,1,40,1,0,9,2
0,2,1,27,1,0,21,2
0,3,0,28.146430406883773,0,0,7,0
1,2,1,3,1,2,41,0
1,3,1,19,0,0,7,1
0,3,0,29.15910016704619,0,0,8,2
0,3,0,24.538073885826748,1,0,15,1
1,3,1,22.124469364168633,0,0,7,1
0,3,0,19.930343760554692,2,0,21,0
0,3,1,18,1,0,17,2
0,3,0,7,4,1,39,2
0,3,0,21,0,0,7,2
1,1,1,49,1,0,76,0
1,2,1,29,1,0,26,2
0,1,0,65,0,1,61,0
1,1,0,38.105152152016935,0,0,35,2
1,2,1,21,0,0,10,2
0,3,0,28,0,0,7,0
1,2,1,5,1,2,27,2
0,3,0,11,5,2,46,2
0,3,0,22,0,0,7,0
1,1,1,38,0,0,80,-1
0,1,0,45,1,0,83,2
0,3,0,4,3,2,27,2
0,1,0,44.06740785722579,0,0,27,0
1,3,0,16.284530190470022,1,1,15,0
1,2,1,29,0,0,10,2
0,3,0,19,0,0,8,2
1,3,1,17,4,2,7,2
0,3,0,26,2,0,8,2
0,2,0,32,0,0,10,2
0,3,1,16,5,2,46,2
0,2,0,21,0,0,73,2
0,3,0,26,1,0,14,0
1,3,0,32,0,0,56,2
0,3,0,25,0,0,7,2
0,3,0,29.172396322993585,0,0,7,2
0,3,0,29.15910016704619,0,0,8,2
1,2,0,0,0,2,29,2
1,3,1,30,0,0,12,2
0,3,0,22,0,0,9,2
1,3,0,29,0,0,9,2
1,3,1,22.124469364168633,0,0,7,1
0,1,0,28,0,0,47,2
1,2,1,17,0,0,10,2
1,3,1,33,3,0,15,2
0,3,0,16,1,3,34,2
0,3,0,29.15910016704619,0,0,8,2
1,1,1,23,3,2,263,2
0,3,0,24,0,0,8,2
0,3,0,29,0,0,8,2
0,3,0,20,0,0,7,2
0,1,0,46,1,0,61,2
0,3,0,26,1,2,20,2
0,3,0,59,0,0,7,2
0,3,0,29.15910016704619,0,0,8,2
0,1,0,71,0,0,34,0
1,1,0,23,0,1,63,0
1,2,1,34,0,1,23,2
0,2,0,34,1,0,26,2
0,3,1,28,0,0,7,2
0,3,0,29.172396322993585,0,0,7,2
0,1,0,21,0,1,77,2
0,3,0,33,0,0,8,2
0,3,0,37,2,0,7,2
0,3,0,28,0,0,7,2
1,3,1,21,0,0,7,2
1,3,0,22.290543949254058,0,0,7,2
0,3,0,38,0,0,7,2
1,3,1,17.88346448153017,1,0,24,1
0,1,0,47,0,0,52,2
0,3,1,14,1,0,14,0
0,3,0,22,0,0,8,2
0,3,1,20,1,0,9,2
0,3,1,17,0,0,14,0
0,3,0,21,0,0,7,2
0,3,0,70,0,0,7,1
0,2,0,29,1,0,21,2
0,1,0,24,0,1,247,0
0,3,1,2,4,2,31,2
0,2,0,21,2,0,73,2
0,3,0,29.15910016704619,0,0,8,2
0,2,0,32,1,0,30,0
1,2,1,32,0,0,13,2
0,1,0,54,0,1,77,2
1,3,0,12,1,0,11,0
0,3,0,28.65941336493868,0,0,7,1
1,3,0,24,0,0,7,2
1,3,1,16.538365471807758,1,1,22,0
0,3,0,45,0,0,6,2
0,3,0,33,0,0,7,0
0,3,0,20,0,0,7,2
0,3,1,47,1,0,14,2
1,2,1,29,1,0,26,2
0,2,0,25,0,0,13,2
0,2,0,23,0,0,15,0
1,1,1,19,0,2,26,2
0,1,0,37,1,0,53,2
0,3,0,16,0,0,9,2
0,1,0,24,0,0,79,0
0,3,1,26.66955280514953,0,2,15,0
1,3,1,22,0,0,7,2
1,3,1,24,1,0,15,2
0,3,0,19,0,0,6,1
0,2,0,18,0,0,11,2
0,2,0,19,1,1,36,2
1,3,0,27,0,0,7,2
0,3,1,9,2,2,34,2
0,2,0,36,0,2,26,2
0,2,0,42,0,0,13,2
0,2,0,51,0,0,12,2
1,1,1,22,1,0,66,2
0,3,0,55,0,0,8,2
0,3,0,40,0,2,14,2
0,3,0,29.172396322993585,0,0,7,2
0,1,0,51,0,1,61,0
1,3,1,16,0,0,7,1
0,3,0,30,0,0,8,2
0,3,0,29.15910016704619,0,0,8,2
0,3,0,-5.489143925131668,8,2,69,2
0,3,0,44,0,1,16,2
1,2,1,40,0,0,15,2
0,3,0,26,0,0,7,2
0,3,0,17,0,0,8,2
0,3,0,1,4,1,39,2
1,3,0,9,0,2,20,2
1,1,1,37.327429042476275,0,1,55,2
0,3,1,45,1,4,27,2
0,1,0,45.11996608523039,0,0,25,2
0,3,0,28,0,0,56,2
0,1,0,61,0,0,33,2
0,3,0,4,4,1,29,1
1,3,1,1,1,1,11,2
0,3,0,21,0,0,7,2
0,1,0,56,0,0,30,0
0,3,0,18,1,1,7,2
0,3,0,16.029446457779855,3,1,25,2
0,1,1,50,0,0,28,0
0,2,0,30,0,0,13,2
0,3,0,36,0,0,0,2
0,3,1,-5.142235552162184,8,2,69,2
0,2,0,36.13351144394957,0,0,15,0
0,3,0,9,4,2,31,2
1,2,0,1,2,1,39,2
1,3,1,4,0,2,22,2
0,1,0,44.78756218654557,0,0,50,2
1,3,1,18.0031298850567,1,0,15,1
1,1,0,45,0,0,26,2
0,3,0,40,1,1,15,1
0,3,0,36,0,0,7,2
1,2,1,32,0,0,13,2
0,2,0,19,0,0,13,2
1,3,1,19,1,0,7,2
1,2,0,3,1,1,26,2
1,1,1,44,0,0,27,0
1,1,1,58,0,0,146,0
0,3,0,28.65941336493868,0,0,7,1
0,3,0,42,0,1,8,2
1,3,1,22.124469364168633,0,0,7,1
0,2,1,24,0,0,13,2
0,3,0,28,0,0,9,2
0,3,0,-5.489143925131668,8,2,69,2
0,3,0,34,0,0,6,2
0,3,0,45,0,0,7,0
1,3,0,18,0,0,8,2
0,3,1,2,0,1,10,2
0,3,0,32,1,0,15,2
1,3,0,26,0,0,18,0
1,3,1,16,0,0,7,1
1,1,0,40,0,0,31,0
0,3,0,24,0,0,7,2
1,2,1,35,0,0,21,2
0,3,0,22,0,0,7,2
0,2,0,30,0,0,13,2
0,3,0,24.644443133405886,1,0,7,1
1,1,1,31,1,0,113,0
1,3,1,27,0,0,7,2
0,2,0,42,1,0,27,2
1,1,1,32,0,0,76,0
0,2,0,30,0,0,10,2
1,3,0,16,0,0,8,2
0,2,0,27,0,0,13,2
0,3,0,51,0,0,8,2
0,3,0,29.172396322993585,0,0,7,2
1,1,0,38,1,0,90,2
0,3,0,22,0,0,9,2
1,2,0,19,0,0,10,2
0,3,0,20,0,0,7,2
0,2,0,18,0,0,13,2
0,3,1,16.376354830749335,3,1,25,2
1,1,1,35,1,0,83,2
0,3,0,29,0,0,7,2
0,2,0,59,0,0,13,2
1,3,1,5,4,2,31,2
0,2,0,24,0,0,10,2
0,3,1,29.519304695963065,0,0,7,2
0,2,0,44,1,0,26,2
1,2,1,8,0,2,26,2
0,2,0,19,0,0,10,2
0,2,0,33,0,0,12,2
0,3,1,24.385295456688716,1,0,14,0
1,3,1,18.0031298850567,1,0,15,1
0,2,0,29,0,0,10,2
0,3,0,22,0,0,7,2
0,3,0,30,0,0,7,0
0,1,0,44,2,0,90,1
0,3,1,25,0,0,7,2
1,2,1,24,0,2,14,2
1,1,0,37,1,1,52,2
0,2,0,54,1,0,26,2
0,3,0,29.172396322993585,0,0,7,2
0,3,1,29,1,1,10,2
0,1,0,62,0,0,26,2
0,3,0,30,1,0,16,2
0,3,1,41,0,2,20,2
1,3,1,29,0,2,15,0
1,1,1,36.841063747191335,0,0,79,0
1,1,1,30,0,0,86,2
1,1,1,35,0,0,512,0
1,2,1,50,0,1,26,2
0,3,0,28.65941336493868,0,0,7,1
1,3,0,3,4,2,31,2
0,1,0,52,1,1,79,2
0,1,0,40,0,0,0,2
0,3,1,29.00632173790816,0,0,7,1
0,2,0,36,0,0,10,2
0,3,0,16,4,1,39,2
1,3,0,25,1,0,7,2
1,1,1,58,0,1,153,2
1,1,1,35,0,0,135,2
0,1,0,45.04018914954603,0,0,31,2
1,3,0,25,0,0,0,2
1,2,1,41,0,1,19,2
0,1,0,37,0,1,29,0
1,3,1,22.124469364168633,0,0,7,1
1,1,1,63,1,0,77,2
0,3,1,45,0,0,7,2
0,2,0,37.35891969927027,0,0,0,2
0,3,0,7,4,1,29,1
1,3,1,35,1,1,20,2
0,3,0,65,0,0,7,1
0,3,0,28,0,0,7,2
0,3,0,16,0,0,9,2
1,3,0,19,0,0,8,2
0,1,0,45.106669929282994,0,0,26,2
0,3,0,33,0,0,8,0
1,3,0,30,0,0,9,2
0,3,0,22,0,0,7,2
1,2,0,42,0,0,13,2
1,3,1,22,0,0,7,1
1,1,1,26,0,0,78,2
1,1,1,19,1,0,91,0
0,2,0,36,0,0,12,0
0,3,1,24,0,0,8,2
0,3,0,24,0,0,7,2
0,1,0,44.06740785722579,0,0,27,0
0,3,0,23,0,0,7,0
0,1,1,2,1,2,151,2
1,1,0,38.1716329317539,0,0,30,2
1,1,1,50,0,1,247,0
1,3,1,22.124469364168633,0,0,7,1
1,3,0,13.534882032975286,2,0,23,1
0,3,0,19,0,0,0,2
1,2,1,30.151438869076607,0,0,12,1
0,3,0,29.15910016704619,0,0,8,2
1,1,0,0,1,2,151,2
1,1,1,36.42888291282217,0,0,110,0
1,1,1,17,1,0,108,0
0,2,0,30,1,0,24,0
1,1,1,30,0,0,56,0
1,1,1,24,0,0,83,0
1,1,1,18,2,2,262,0
0,2,1,26,1,1,26,2
0,3,0,28,0,0,7,2
0,2,0,43,1,1,26,2
1,3,1,26,0,0,7,2
1,2,1,24,1,0,26,2
0,2,0,54,0,0,14,2
1,1,1,31,0,2,164,2
1,1,1,40,1,1,134,0
0,3,0,22,0,0,7,2
0,3,0,27,0,0,7,2
1,2,1,30,0,0,12,1
1,2,1,22,1,1,29,2
0,3,0,-5.489143925131668,8,2,69,2
1,1,1,36,0,0,135,0
0,3,0,61,0,0,6,2
1,2,1,36,0,0,13,2
1,3,1,31,1,1,20,2
1,1,1,16,0,1,57,0
1,3,1,13.88179040594477,2,0,23,1
0,1,0,45,0,0,28,2
0,1,0,38,0,1,153,2
0,3,0,16,2,0,18,2
1,1,1,33.13406701060916,1,0,133,2
0,3,0,29.172396322993585,0,0,7,2
0,1,0,29,1,0,66,2
1,1,1,41,0,0,134,0
1,3,0,45,0,0,8,2
0,1,0,45,0,0,35,2
1,2,0,2,1,1,26,2
1,1,1,24,3,2,263,2
0,2,0,28,0,0,13,2
0,2,0,25,0,0,13,2
0,2,0,36,0,0,13,2
1,2,1,24,0,0,13,2
1,2,1,40,0,0,13,2
1,3,1,18.502816687164213,1,0,16,2
1,3,0,3,1,1,15,2
0,3,0,42,0,0,8,2
0,3,0,23,0,0,9,2
0,1,0,44.98700452575646,0,0,35,2
0,3,0,15,1,1,7,0
0,3,0,25,1,0,17,2
0,3,0,28.146430406883773,0,0,7,0
0,3,0,28,0,0,9,2
1,1,1,22,0,1,55,2
0,2,1,38,0,0,13,2
1,3,1,22.124469364168633,0,0,7,1
1,3,1,22.124469364168633,0,0,7,1
0,3,0,40,1,4,27,2
0,2,0,29,1,0,27,0
0,3,1,45,0,1,14,0
0,3,0,35,0,0,7,2
0,3,0,24.538073885826748,1,0,15,1
0,3,0,30,0,0,7,2
1,1,1,60,1,0,75,0
1,3,1,21.611486406113727,0,0,7,0
1,3,1,22.124469364168633,0,0,7,1
1,1,1,24,0,0,69,0
1,1,0,25,1,0,55,0
0,3,0,18,1,0,6,2
0,3,0,19,0,0,8,2
0,1,0,22,0,0,135,0
0,3,1,3,3,1,21,2
1,1,1,32.78620504781637,1,0,82,0
1,3,1,22,0,0,7,2
0,1,0,27,0,2,211,0
0,3,0,20,0,0,4,0
0,3,0,19,0,0,7,2
1,1,1,42,0,0,227,0
1,3,1,1,0,2,15,0
0,3,0,32,0,0,7,2
1,1,1,35,1,0,52,2
0,3,0,29.172396322993585,0,0,7,2
0,2,0,18,0,0,73,2
0,3,0,1,5,2,46,2
1,2,1,36,0,0,13,2
0,3,0,28.65941336493868,0,0,7,1
1,2,1,17,0,0,12,0
1,1,0,36,1,2,120,2
1,3,0,21,0,0,7,2
0,3,0,28,2,0,7,2
1,1,1,23,1,0,113,0
1,3,1,24,0,2,16,2
0,3,0,22,0,0,7,2
0,3,1,31,0,0,7,2
0,2,0,46,0,0,26,2
0,2,0,23,0,0,10,2
1,2,1,28,0,0,12,2
1,3,0,39,0,0,7,2
0,3,0,26,0,0,8,2
0,3,1,21,1,0,9,2
0,3,0,28,1,0,15,2
0,3,1,20,0,0,8,2
0,2,0,34,1,0,21,2
0,3,0,51,0,0,7,2
1,2,0,3,1,1,18,2
0,3,0,21,0,0,7,2
0,3,1,16.376354830749335,3,1,25,2
0,3,0,29.172396322993585,0,0,7,2
0,3,0,28.672709520886073,0,0,6,1
1,1,1,33,1,0,90,1
0,2,0,37.35891969927027,0,0,0,2
1,3,0,44,0,0,7,2
0,3,1,29.50600854001567,0,0,8,2
1,2,1,34,1,1,32,2
1,2,1,18,0,2,13,2
0,2,0,30,0,0,13,2
0,3,1,10,0,2,24,2
0,3,0,28.146430406883773,0,0,7,0
0,3,0,21,0,0,7,1
0,3,0,29,0,0,7,2
0,3,1,28,1,1,14,2
0,3,0,18,1,1,20,2
0,3,0,29.172396322993585,0,0,7,2
1,2,1,28,1,0,26,2
1,2,1,19,0,0,26,2
0,3,0,28.65941336493868,0,0,7,1
1,3,0,32,0,0,8,2
1,1,0,28,0,0,26,2
1,3,1,18.502816687164213,1,0,16,2
1,2,1,42,1,0,26,2
0,3,0,17,0,0,7,2
0,1,0,50,1,0,55,2
1,1,1,14,1,2,120,2
0,3,1,21,2,2,34,2
1,2,1,24,2,3,18,2
0,1,0,64,1,4,263,2
0,2,0,31,0,0,10,2
1,2,1,45,1,1,26,2
0,3,0,20,0,0,9,2
0,3,0,25,1,0,7,2
1,2,1,28,0,0,13,2
1,3,0,22.277247793306664,0,0,8,2
1,1,0,4,0,2,81,2
1,2,1,13,0,1,19,2
1,1,0,34,0,0,26,2
1,3,1,5,2,1,19,0
